time,id,start_date,end_date,activity,circumplex.arousal,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.main,appCat.tools,appCat.contact,mood,mood_label
2014-03-26,AS14.01,2014-03-19,2014-03-26,0.10853235217425287,0.03333333333333333,0.6555555555555556,8491.192334016161,900.9073333333334,5464.767,2584.014666666667,113.91666666666667,1.6666666666666667,6.655555555555555,7.0
2014-03-27,AS14.01,2014-03-20,2014-03-27,0.134520026148079,0.06666666666666667,0.7333333333333334,13546.594333728151,1227.6900000000003,7054.194666666667,2797.6156666666666,183.011,2.3333333333333335,6.8,8.0
2014-03-29,AS14.01,2014-03-22,2014-03-29,0.10967392424701435,0.06666666666666667,0.7999999999999999,14062.85766649246,1449.8180000000002,6215.319,3151.5253333333335,412.80133333333333,3.4444444444444446,7.199999999999999,8.0
2014-03-30,AS14.01,2014-03-23,2014-03-30,0.09226880719750304,-0.033333333333333326,0.85,10095.99533335368,1198.7740000000001,3651.903,1867.6896666666664,428.77233333333334,4.5,7.5,7.0
2014-03-31,AS14.01,2014-03-24,2014-03-31,0.06260042050226707,-0.09999999999999999,0.7833333333333333,8227.556667009989,1776.1333333333332,3117.278,2335.228333333333,564.324,5.5,7.633333333333333,6.0
2014-04-04,AS14.01,2014-03-28,2014-04-04,0.08209592087075246,-0.09999999999999999,0.5833333333333334,9579.819667100908,1777.8663333333332,4037.59,2845.597333333333,444.68,4.833333333333333,7.033333333333334,6.0
2014-04-07,AS14.01,2014-03-31,2014-04-07,0.08262180442167776,-0.15555555555555553,0.4166666666666667,11354.20866672198,1948.8703333333333,6056.426666666666,2939.7346666666667,530.5566666666667,3.3333333333333335,6.7,7.0
2014-04-09,AS14.01,2014-04-02,2014-04-09,0.09924801563799081,-0.4222222222222222,0.5499999999999999,11928.027000268303,1507.941,6337.906333333333,3128.1059999999998,608.051,2.6666666666666665,6.7,7.0
2014-04-10,AS14.01,2014-04-03,2014-04-10,0.08333928030051256,-0.6222222222222222,0.6833333333333335,10900.256333351137,1093.7830000000001,6137.834,2936.9193333333333,615.3416666666667,4.0,7.1000000000000005,7.0
2014-04-11,AS14.01,2014-04-04,2014-04-11,0.09311114060009344,-0.7999999999999999,0.8666666666666667,11127.078000148142,1907.6676666666665,4798.359666666666,3164.007333333333,569.9843333333333,6.166666666666667,7.266666666666667,7.0
2014-04-12,AS14.01,2014-04-05,2014-04-12,0.07706612291275657,-0.7833333333333332,0.7833333333333333,10524.584666808447,1462.2773333333334,4937.695333333334,2725.2719999999995,407.4653333333333,7.5,7.216666666666666,8.0
2014-04-13,AS14.01,2014-04-06,2014-04-13,0.05541886416591646,-1.0666666666666667,0.85,8094.468666791916,1372.964,3676.1566666666663,1828.086333333333,276.99966666666666,8.0,7.416666666666667,6.0
2014-04-15,AS14.01,2014-04-08,2014-04-15,0.058794181068471375,-0.6666666666666666,0.85,9113.927666187286,782.0723333333334,4638.703,2734.332,309.74533333333335,8.5,7.216666666666666,7.0
2014-04-16,AS14.01,2014-04-09,2014-04-16,0.07341460595407273,-0.1666666666666666,0.7666666666666666,9371.149665514631,989.128,4165.347333333333,2697.2226666666666,252.3836666666667,6.166666666666667,7.2,7.0
2014-04-17,AS14.01,2014-04-10,2014-04-17,0.08771344852664809,0.11666666666666674,0.6333333333333333,13708.725999355322,1024.0566666666666,7750.862,3324.9159999999997,255.47433333333333,4.0,6.733333333333333,7.0
2014-04-18,AS14.01,2014-04-11,2014-04-18,0.08902039983139837,-0.14999999999999994,0.6333333333333333,13677.227999766668,1112.2373333333335,7456.670666666666,2492.1373333333336,189.3983333333333,1.3333333333333333,6.866666666666667,8.0
2014-04-19,AS14.01,2014-04-12,2014-04-19,0.08346092503030438,-0.46666666666666656,0.7999999999999999,13934.15233365695,1119.763,6641.085333333333,2042.4950000000001,256.664,1.3333333333333333,7.066666666666666,7.0
2014-04-20,AS14.01,2014-04-13,2014-04-20,0.08942705382064409,-0.4166666666666666,0.85,11709.165000200272,1234.7246666666667,4351.547,2284.646,273.916,2.0,7.283333333333332,8.0
2014-04-21,AS14.01,2014-04-14,2014-04-21,0.09209640457840113,-0.23333333333333325,0.9166666666666666,8489.919000069303,1761.836,3239.1103333333335,1501.2056666666667,319.53799999999995,2.3333333333333335,7.55,7.0
2014-04-22,AS14.01,2014-04-15,2014-04-22,0.08959561794455173,-0.09999999999999992,0.9166666666666666,9222.259666283926,2184.0906666666665,6116.6613333333335,2024.9920000000002,326.27366666666666,2.6666666666666665,7.416666666666667,8.0
2014-04-23,AS14.01,2014-04-16,2014-04-23,0.07998543330810158,0.05000000000000008,1.0,11286.200332641602,2262.009333333333,7431.244,1330.404,370.9753333333333,1.6666666666666667,7.533333333333332,7.0
2014-04-25,AS14.01,2014-04-18,2014-04-25,0.08232543486429501,0.06666666666666675,0.9333333333333332,14666.517332792282,1387.1363333333331,9189.509666666667,2117.897,418.61799999999994,2.0,7.400000000000001,8.0
2014-05-03,AS14.01,2014-04-26,2014-05-03,0.07559587922192167,-0.0666666666666666,0.9333333333333332,12231.77266661326,900.5706666666666,6915.797333333333,2351.846,369.7953333333333,1.6666666666666667,7.599999999999999,8.0
2014-05-04,AS14.01,2014-04-27,2014-05-04,0.10566458563634595,-0.29999999999999993,0.9333333333333332,9349.724333286285,1109.7693333333334,5066.8696666666665,2528.848333333333,285.18966666666665,1.6666666666666667,7.733333333333334,8.0
