time,id,activity,circumplex.arousal,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.main,appCat.tools,appCat.contact,mood
2014-04-10,AS14.02,0.2607506038432931,0.25,0.75,7844.238998651505,1303.452,2726.237,1262.131,668.372,2.0,7.25
2014-04-11,AS14.02,0.4244814273084369,-0.5,0.5,5810.030001163483,1548.192,2343.793,1020.3689999999999,767.057,8.0,6.5
2014-04-13,AS14.02,0.28982011828279997,-0.6,0.4,2174.8709976673135,510.913,855.219,494.591,238.75799999999998,1.0,7.2
2014-04-15,AS14.02,0.1736288831786874,-0.5,0.5,701.2870004177095,98.266,445.91700000000003,45.044000000000004,238.75799999999998,15.0,7.25
2014-04-16,AS14.02,0.3532763532763534,-0.3333333333333333,0.3333333333333333,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,17.0,6.666666666666667
2014-04-18,AS14.02,0.2831366164699499,0.0,0.0,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,3.0,6.5
2014-04-21,AS14.02,0.21299687966354647,-0.5,-0.5,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,8.0,5.5
2014-04-23,AS14.02,0.142857142857143,0.0,0.5,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,8.0,5.5
2014-03-26,AS14.03,0.0911532011403041,0.5,1.0,3985.9769988059993,118.63900000000001,1294.789,2463.6980000000003,93.16900000000001,1.0,8.25
2014-04-05,AS14.03,0.11442793762963631,1.2,1.0,3852.6619989871942,263.059,1110.404,2402.2999999999997,80.55799999999999,6.0,7.6
2014-04-07,AS14.03,0.14406393678902962,0.2,1.0,5035.644999742507,596.011,1787.445,2726.69,154.846,2.0,7.4
2014-04-09,AS14.03,0.0921222333052219,0.6,1.0,1773.7219996452325,23.843000000000004,763.865,1032.365,124.674,3.333333333333333,7.8
2014-04-11,AS14.03,0.12018808327176551,0.2,1.0,4983.920999288563,102.15899999999999,1698.898,3154.798,386.948,4.666666666666666,7.6
2014-04-15,AS14.03,0.11955499852139129,0.2,0.8,3964.784998178483,726.5,2245.302,1856.067,112.31700000000001,6.0,7.6
2014-04-16,AS14.03,0.11476816921494709,0.8,1.0,5334.56700015068,244.239,1454.301,3532.363,221.27,2.0,8.0
2014-04-22,AS14.03,0.09285561446082308,0.4,0.8,3493.3910002708435,126.094,1806.502,2381.933,96.599,1.5,7.6
2014-04-23,AS14.03,0.1203897193369119,0.6,0.8,4272.427999734879,145.374,1479.562,2552.8650000000002,82.68299999999999,1.0,7.0
2014-04-24,AS14.03,0.10600109223606825,-0.2,1.0,4893.604000329971,115.675,2815.141,1800.461,176.453,1.0,7.4
2014-04-28,AS14.03,0.08262849034113322,-1.4,1.0,3365.22000002861,118.209,2852.19,3533.5150000000003,77.45,1.0,7.0
2014-04-30,AS14.03,0.08969224082903049,-1.2,1.0,4097.972999095916,191.088,1863.695,2006.694,142.977,3.0,7.0
2014-05-03,AS14.03,0.1389189314363011,-0.4,1.0,7432.300000190738,550.479,924.108,3330.291,153.138,5.0,7.75
2014-05-04,AS14.03,0.06616240664834475,-1.2,0.8,3048.189000368119,80.634,192.14600000000002,2692.839,79.17599999999999,4.0,7.4
2014-05-06,AS14.03,0.0864344417491167,-0.9333333333333333,0.9,1786.1979990005495,568.458,980.4499999999999,466.711,12.061,2.0,7.533333333333333
2014-05-07,AS14.03,0.09445035643820726,-0.6666666666666666,1.0,3511.5200004577637,719.6809999999999,1327.231,1198.903,297.33500000000004,2.0,7.666666666666667
2014-03-17,AS14.05,0.08337052096204704,-0.4,0.4,5613.824001312256,839.597,1774.029,1020.822,174.668,2.0,6.0
2014-03-19,AS14.05,0.13369126492653632,1.0,0.75,6095.810001134871,235.80700000000002,4320.741,1031.177,160.88000000000002,1.5,6.75
2014-03-20,AS14.05,0.11845679938612319,1.0,0.8,4862.865999221802,122.208,4486.863,512.418,157.196,1.0,7.2
2014-03-21,AS14.05,0.050197722898856136,0.0,1.0,3032.3189995288863,393.794,2267.379,375.79200000000003,53.848,5.0,7.25
2014-03-26,AS14.05,0.039236509193725615,-0.5,0.25,8523.028999567037,176.916,7550.9,715.528,217.99,1.0,5.5
2014-03-29,AS14.05,0.10442318185053041,-0.4,1.0,2506.7190003395085,473.51,1584.78,345.242,171.06400000000002,4.0,6.4
2014-03-30,AS14.05,0.07491950961612633,-0.8,0.8,4132.284999370574,194.232,3235.621,360.442,245.233,4.0,6.2
2014-03-31,AS14.05,0.05534132176899743,-0.4,1.0,1278.2409992218008,110.37700000000001,581.754,1269.714,444.276,2.0,6.8
2014-04-01,AS14.05,0.07812598561494999,0.0,1.0,4642.2749993801135,459.605,2799.0969999999998,1275.554,140.298,2.0,7.0
2014-04-02,AS14.05,0.07312614127423468,-0.2,1.0,3362.5429990291605,388.53000000000003,1747.588,960.305,298.449,2.0,7.0
